Title,Industry,Converted,Business Type,Lead Type,Product.,Lead Status,Lead Source,Secondary Lead Source
"Manager, Business Services Management-LAND and Resources CLUSTER-Information and Information Technology Cluster, Environment",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Chief Investment Officer,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Sales Manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Owner,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Senior Technical/Business Analyst-Architecture, Planning and Information Management Office, Transportation",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CEO,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India - NGRAM,India Lead - Research
Aftersales Manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Owner, Financial Literacy Counsel Inc.",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CFO,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
General Manager,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Owner,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
Regional Manager at Conundrum Adventures Corporate Team Building,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Chief Operating Officer,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India - NGRAM,India Lead - Research
Neuroscience Directorate General Manager,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CEO,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Vice President of Operations, Chief Operating Officer",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CFO,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Fleet Sales Manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CEO,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
Director en Equinox Agente de Seguros y de Fianzas S.A de C.V,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CFO,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Assistant Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Vice President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
******,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Founder,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India - NGRAM,India Lead - Research
Key Account Manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
General Manager,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
President at Florida REPS,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Chief Strategy Officer,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
General Manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Vice President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
President and Principal Advisor,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CFO,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
"Assistant Principal, Moore County Schools and Owner of Life Sculptors LLC",Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
General Manager,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Terminal Manager at DP World, Nanaimo",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Chief Financial Officer,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Principal,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
--,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Charter Operations Manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
assistant principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Vice President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
******,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CFO/Gen'l Counsel,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Marketing,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Founder,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Administrative Assistant-Health System Information Management and Investment Division, Health and LONG-TERM Care",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CFO / COO,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Director,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Vice President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
Senior Financial Planning Advisor,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Chairman & CEO,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Owner,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
Senior Systems Administrative Adviser,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Director,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India - NGRAM,India Lead - Research
Health Educator,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CEO,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Sr. Vice-President, Customplan Financial: focused on structuring cost & tax effective risk mitigation strategies",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Chief Human Resources Officer,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Assistant Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Information Management Coordinator, Office of Technology Applications-Ministry of Agriculture, Food and Rural Affairs",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Chief Financial Officer and Treasurer,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Director,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CEO,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
******,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CFO,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Medical Library Manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Director of Sales and Marketing at COWS CREAMERY, Raspberry Point Oyster Co. and COWS Inc.",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Chairman & Founder,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Vice President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Information Technology and Security Project Manager-Business and Fiscal Planning Branch, Attorney General",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CFO,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Founder,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
Owner of Athabasca Financial Ltd. & Dealing Representative at Raintree Financial Solutions (EMD),Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Chief Financial Officer,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Project Manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Managing Partner,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Manager Information Technology - Niagara Escarpment Commission, Natural Resources",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Director,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India - NGRAM,India Lead - Research
Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
Senior Systems Administration Adviser,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Chief Financial Officer,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India - NGRAM,India Lead - Research
Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Owner,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Information Technology Transformation Manager-Western Regional Office, Labour",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Co Founder,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India - NGRAM,India Lead - Research
Chairman,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Founder,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Sr. Associate and Independent Financial Advisor and Planner, Customplan Financial Advisors Inc.",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CEO,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India - NGRAM,India Lead - Research
Physician Recruitment Manager,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
President,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
"Project Manager-Technology and Information Management Unit, MUNICIPAL Affairs and HOUSING",Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Founder,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India - NGRAM,India Lead - Research
Assistant Principal,Utilities,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
CEO,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India,India Lead - Research
Catering & Event Manager - Copetown Woods Golf Club,Others,0,Solutions,Enterprise (End User),Infrascale Appliance,Suspect,India - NGRAM,India Lead - Research
Director,Computer/Software,0,Services,Enterprise (End User),Infrascale Cloud,Suspect,India - NGRAM,India Lead - Research
